,Unnamed: 0,ARN,tr_sink_node,m_network,MID,MID_name,TID,Typ_karty,czy_SCA,tr_amout,pos_entry_mode,country,podział NBP,trx_date,posted_date,quarter,FT,FT description,country_aggr,Category,te_pos_entry_mode,czy_moto,czy_niskokwotowa_zblizeniowa
36,1,05185243343035190249213,SN-MasterC,Niezrzeszeni,Z0020,Zbigniew Kowalski,2585107,Credit,non_SCA,45.0,CHIP,GB,G1,2023-12-09,2023-12-10,4,3,Pozostałe,NPL,G1,051,inne,0
37,2,05185243346035234986173,SN-MasterC,Niezrzeszeni,B5182,BLAUMED SPÓŁKA Z OGRANICZONĄ O,18977307,Credit,non_SCA,210.0,CTLS,PL,PL,2023-12-12,2023-12-14,4,1,Zgubienie lub kradzież karty,PL,W2,071,inne,0
38,3,05185243346035235005213,SN-MasterC,Niezrzeszeni,B5182,BLAUMED SPÓŁKA Z OGRANICZONĄ O,18977307,Credit,non_SCA,90.0,CTLS,PL,PL,2023-12-12,2023-12-14,4,1,Zgubienie lub kradzież karty,PL,W2,071,inne,1
39,4,05185243222033115708526,SN-MasterC,BANK MILLENNIUM,C4725,CAR SHER SP. Z O.O.,20727407,Debit,SCA,200.0,CTLS,US,G1,2023-08-10,2023-11-14,4,4,Karta sfałszowana,NPL,G1,071,inne,0
40,5,05185243285034281917150,SN-MasterC,Wiele Rachunków,N0788,N&N NA JUNHYOUNG SP.K.,6584307,Debit,non_SCA,80.0,CTLS,PL,PL,2023-10-12,2023-10-12,4,5,Pozostałe,PL,W2,071,inne,1
41,6,05185243179032271708083,SN-MasterC,Niezrzeszeni,M4998,MAXBUS Transport Osobowy Jacek,9073307,Debit,non_SCA,30.0,CTLS,GB,G1,2023-06-28,2023-12-20,4,0,Zgubienie lub kradzież karty,NPL,G1,071,inne,1
42,7,05185243222033115826831,SN-MasterC,BANK MILLENNIUM,C4725,CAR SHER SP. Z O.O.,20727407,Debit,non_SCA,17998.26,CTLS,US,G1,2023-08-10,2023-11-14,4,4,Karta sfałszowana,NPL,G1,071,inne,0
43,8,05185243172032128737431,SN-MasterC,Niezrzeszeni,M4998,MAXBUS Transport Osobowy Jacek,9073407,Debit,non_SCA,30.0,CTLS,GB,G1,2023-06-21,2023-12-20,4,0,Zgubienie lub kradzież karty,NPL,G1,071,inne,1
44,9,05185243306034628138028,SN-MasterC,Niezrzeszeni,M5519,MAZO  SP z o o,21053807,Credit,non_SCA,60.0,CTLS,US,G1,2023-11-02,2023-11-10,4,0,Zgubienie lub kradzież karty,NPL,G1,071,inne,1
45,10,05185243171032120114341,SN-MasterC,Niezrzeszeni,M4998,MAXBUS Transport Osobowy Jacek,9072907,Debit,non_SCA,30.0,CTLS,GB,G1,2023-06-20,2023-12-20,4,0,Zgubienie lub kradzież karty,NPL,G1,071,inne,1
46,11,05185243338035104648002,SN-MasterC,HVT_5K_VERIFIED,F4963,FARIRAM INVEST SPÓŁKA Z OGRANI,18787307,Debit,non_SCA,120.0,011,UA,G1,2023-12-04,2023-12-14,4,6,Pozostałe,NPL,G1,011,MOTO,0
