,KRAJE,category,ilosc,wartosc
0,INNE KRAJE,BUSINESS,295,104441.2400
1,POLSKA,BUSINESS,366,90682.1700
2,INNE KRAJE,Individual,3936,566269.2600
3,POLSKA,Individual,2652,339778.7600
