num,name,ilosc,wartosc
1,Austria,393,85637.44
2,Belgia,11215,893593.83
3,Bułgaria,738,55996.18
4,Chorwacja,431,57246.89
5,Cypr,269,43576.01
6,Czechy,25996,4269853.93
7,Dania,5334,596045.39
8,Estonia,68,11960.52
9,Finlandia,2169,138585.22
10,Francja,5708,645463.19
11,Grecja,873,73925.83
12,Hiszpania,3196,258566.48
13,Holandia,7260,708616.16
14,Irlandia,8062,1296563.05
15,Islandia,2877,319501.76
16,Litwa ,6715,617218.57
17,Liechtenstein,12,2004.0
18,Luksemburg,450,65788.04
19,Łotwa,576,104614.61
20,Malta,152,13980.98
21,Niemcy,26823,4579145.7
22,Norwegia,23158,2419088.49
23,Polska,0,0.0
24,Portugalia,864,75929.94
25,Rumunia,1231,204711.01
26,Słowacja,15296,1388933.7
27,Słowenia,334,16848.75
28,Szwecja,3590,325104.61
29,Węgry,655,52440.94
30,Włochy,2690,274516.15
31,Krajowe,21476697,1174500949.8
32,Pozostałe kraje świata (poza EOG),455612,31702613.86
