num,name,ilosc,wartosc
1,Austria,5612.0,658973.93
2,Belgia,14981.0,1319822.67
3,Bułgaria,1283.0,101236.67
4,Chorwacja,668.0,68791.28
5,Cypr,513.0,90329.59
6,Czechy,49793.0,7915079.59
7,Dania,10551.0,1238761.0
8,Estonia,1350.0,136416.17
9,Finlandia,3123.0,246034.91
10,Francja,10589.0,1052527.71
11,Grecja,2416.0,170698.17
12,Hiszpania,8757.0,578995.39
13,Holandia,26183.0,2449024.4
14,Irlandia,21096.0,4522586.53
15,Islandia,4083.0,467578.96
16,Litwa ,18195.0,2275016.31
17,Liechtenstein,15.0,2951.0
18,Luksemburg,512.0,72070.59
19,Łotwa,2511.0,281853.8
20,Malta,368.0,35756.02
21,Niemcy,69165.0,11882848.04
22,Norwegia,27738.0,2896013.47
23,Polska,,
24,Portugalia,2656.0,168983.19
25,Rumunia,2675.0,329423.68
26,Słowacja,20258.0,1798484.51
27,Słowenia,705.0,40271.56
28,Szwecja,15621.0,1606264.35
29,Węgry,4171.0,334044.67
30,Włochy,12624.0,1015922.91
31,Krajowe,37266501.0,2116726121.08
32,Pozostałe kraje świata (poza EOG),688283.0,51085620.27
