num,name,ilosc,wartosc
1,Austria,0,0.0
2,Belgia,14,694.02
3,Bułgaria,33,1024.54
4,Chorwacja,10,199.87
5,Cypr,0,0.0
6,Czechy,65,3955.71
7,Dania,28,1300.52
8,Estonia,0,0.0
9,Finlandia,22,4302.22
10,Francja,47,5805.39
11,Grecja,0,0.0
12,Hiszpania,12,495.0
13,Holandia,58,2495.77
14,Irlandia,17,931.08
15,Islandia,92,44345.59
16,Litwa ,5,182.47
17,Liechtenstein,0,0.0
18,Luksemburg,1,23.5
19,Łotwa,1,90.0
20,Malta,2,64.0
21,Niemcy,64,2479.61
22,Norwegia,229,8465.3
23,Polska,0,0.0
24,Portugalia,7,399.0
25,Rumunia,26,727.35
26,Słowacja,65,3157.45
27,Słowenia,2,83.0
28,Szwecja,21,1143.42
29,Węgry,2,77.78
30,Włochy,16,816.45
31,Krajowe,276112,11988834.21
32,Pozostałe kraje świata (poza EOG),329,11039.62
