num,name,ilosc,wartosc
1,Austria,7,409.78
2,Belgia,10965,851999.26
3,Bułgaria,662,50523.54
4,Chorwacja,394,52059.14
5,Cypr,228,37924.44
6,Czechy,25640,4220230.62
7,Dania,5272,587433.29
8,Estonia,53,10232.89
9,Finlandia,2040,126543.78
10,Francja,4564,421109.96
11,Grecja,452,34599.27
12,Hiszpania,2127,156616.61
13,Holandia,7063,679176.68
14,Irlandia,5335,626170.1
15,Islandia,2469,254725.96
16,Litwa ,6041,548544.54
17,Liechtenstein,3,469.0
18,Luksemburg,252,37789.41
19,Łotwa,154,12788.88
20,Malta,132,9595.98
21,Niemcy,19549,3358622.97
22,Norwegia,21474,2230831.08
23,Polska,0,0.0
24,Portugalia,799,66550.69
25,Rumunia,1194,199090.37
26,Słowacja,14610,1324297.47
27,Słowenia,308,14262.83
28,Szwecja,2855,225435.21
29,Węgry,615,50637.12
30,Włochy,1717,118589.93
31,Krajowe,20756110,1115069040.71
32,Pozostałe kraje świata (poza EOG),356622,23032623.76
