num,name,ilosc,wartosc
1,Austria,4014,152993.99
2,Belgia,11434,367653.62
3,Bułgaria,982,34385.91
4,Chorwacja,542,16208.5
5,Cypr,386,14372.21
6,Czechy,33454,1250669.52
7,Dania,7990,288101.99
8,Estonia,961,33301.28
9,Finlandia,2491,82958.73
10,Francja,7773,268347.9
11,Grecja,2086,63872.81
12,Hiszpania,7443,230170.67
13,Holandia,19482,648599.46
14,Irlandia,10512,379918.58
15,Islandia,2769,91255.7
16,Litwa ,12344,423658.47
17,Liechtenstein,4,199.0
18,Luksemburg,338,13242.46
19,Łotwa,1941,64750.71
20,Malta,283,9949.64
21,Niemcy,40265,1583357.69
22,Norwegia,20390,693388.61
23,Polska,0,0.0
24,Portugalia,2270,71508.98
25,Rumunia,2185,70559.21
26,Słowacja,16410,618399.71
27,Słowenia,613,19436.29
28,Szwecja,11871,407652.1
29,Węgry,3586,124923.63
30,Włochy,9874,332696.89
31,Krajowe,31989728,888314311.74
32,Pozostałe kraje świata (poza EOG),569798,16470367.7
