num,name,ilosc,wartosc
1,Austria,291,39029.79
2,Belgia,355,62165.99
3,Bułgaria,37,3901.88
4,Chorwacja,17,1331.25
5,Cypr,15,883.3
6,Czechy,2749,446153.97
7,Dania,542,137067.27
8,Estonia,167,38001.21
9,Finlandia,229,58877.74
10,Francja,500,75195.87
11,Grecja,1365,87515.57
12,Hiszpania,289,31664.9
13,Holandia,1129,158465.52
14,Irlandia,3466,880619.76
15,Islandia,248,41724.23
16,Litwa ,569,208564.52
17,Liechtenstein,0,0.0
18,Luksemburg,30,3163.95
19,Łotwa,112,22207.27
20,Malta,5,3206.34
21,Niemcy,5914,1035031.58
22,Norwegia,2261,309402.26
23,Polska,0,0.0
24,Portugalia,22,5992.42
25,Rumunia,140,43088.92
26,Słowacja,575,61583.34
27,Słowenia,42,3245.26
28,Szwecja,1795,324932.11
29,Węgry,252,16207.69
30,Włochy,937,150611.63
31,Krajowe,1161185,97890251.27
32,Pozostałe kraje świata (poza EOG),56385,5845322.06
