num,name,ilosc,wartosc
1,Austria,393,85637.44
2,Belgia,11201,892899.81
3,Bułgaria,705,54971.64
4,Chorwacja,421,57047.02
5,Cypr,269,43576.01
6,Czechy,25931,4265898.22
7,Dania,5306,594744.87
8,Estonia,68,11960.52
9,Finlandia,2147,134283.0
10,Francja,5661,639657.8
11,Grecja,873,73925.83
12,Hiszpania,3184,258071.48
13,Holandia,7202,706120.39
14,Irlandia,8045,1295631.97
15,Islandia,2785,275156.17
16,Litwa ,6710,617036.1
17,Liechtenstein,12,2004.0
18,Luksemburg,449,65764.54
19,Łotwa,575,104524.61
20,Malta,150,13916.98
21,Niemcy,26759,4576666.09
22,Norwegia,22929,2410623.19
23,Polska,0,0.0
24,Portugalia,857,75530.94
25,Rumunia,1205,203983.66
26,Słowacja,15231,1385776.25
27,Słowenia,332,16765.75
28,Szwecja,3569,323961.19
29,Węgry,653,52363.16
30,Włochy,2674,273699.7
31,Krajowe,21200585,1162512115.59
32,Pozostałe kraje świata (poza EOG),455283,31691574.24
