num,name,ilosc,wartosc
1,Austria,386,85227.66
2,Belgia,250,41594.57
3,Bułgaria,76,5472.64
4,Chorwacja,37,5187.75
5,Cypr,41,5651.57
6,Czechy,356,49623.31
7,Dania,62,8612.1
8,Estonia,15,1727.63
9,Finlandia,129,12041.44
10,Francja,1144,224353.23
11,Grecja,421,39326.56
12,Hiszpania,1069,101949.87
13,Holandia,197,29439.48
14,Irlandia,2727,670392.95
15,Islandia,408,64775.8
16,Litwa ,674,68674.03
17,Liechtenstein,9,1535.0
18,Luksemburg,198,27998.63
19,Łotwa,422,91825.73
20,Malta,20,4385.0
21,Niemcy,7274,1220522.73
22,Norwegia,1684,188257.41
23,Polska,0,0.0
24,Portugalia,65,9379.25
25,Rumunia,37,5620.64
26,Słowacja,686,64636.23
27,Słowenia,26,2585.92
28,Szwecja,735,99669.4
29,Węgry,40,1803.82
30,Włochy,973,155926.22
31,Krajowe,720587,59431909.09
32,Pozostałe kraje świata (poza EOG),98985,8669658.1
