num,name,ilosc,wartosc
1,Austria,8,344.38
2,Belgia,12,623.19
3,Bułgaria,16,436.75
4,Chorwacja,1,86.0
5,Cypr,0,0.0
6,Czechy,314,19096.97
7,Dania,19,809.46
8,Estonia,7,303.92
9,Finlandia,1,42.0
10,Francja,13,548.25
11,Grecja,0,0.0
12,Hiszpania,17,607.38
13,Holandia,68,3708.92
14,Irlandia,22,895.64
15,Islandia,15,581.76
16,Litwa ,55,2985.54
17,Liechtenstein,0,0.0
18,Luksemburg,0,0.0
19,Łotwa,7,287.71
20,Malta,0,0.0
21,Niemcy,20,785.16
22,Norwegia,8,311.45
23,Polska,0,0.0
24,Portugalia,1,66.96
25,Rumunia,10,230.48
26,Słowacja,82,2710.9
27,Słowenia,0,0.0
28,Szwecja,226,7074.76
29,Węgry,11,482.4
30,Włochy,35,1380.27
31,Krajowe,99178,4169258.25
32,Pozostałe kraje świata (poza EOG),76,3148.99
