num,name,ilosc,wartosc
1,Austria,5611,658589.93
2,Belgia,14981,1319822.67
3,Bułgaria,1283,101236.67
4,Chorwacja,666,68538.28
5,Cypr,512,89648.09
6,Czechy,49791,7912402.59
7,Dania,10549,1238111.0
8,Estonia,1348,136039.02
9,Finlandia,3123,246034.91
10,Francja,10580,1046229.65
11,Grecja,2416,170698.17
12,Hiszpania,8756,578428.99
13,Holandia,26162,2438797.59
14,Irlandia,16203,2550266.35
15,Islandia,4083,467578.96
16,Litwa ,18194,2274080.31
17,Liechtenstein,15,2951.0
18,Luksemburg,512,72070.59
19,Łotwa,2511,281853.8
20,Malta,368,35756.02
21,Niemcy,69152,11875423.74
22,Norwegia,27737,2895590.47
23,Polska,0,0.0
24,Portugalia,2655,167378.39
25,Rumunia,2675,329423.68
26,Słowacja,20258,1798484.51
27,Słowenia,705,40271.56
28,Szwecja,15621,1606264.35
29,Węgry,4171,334044.67
30,Włochy,12616,1007165.91
31,Krajowe,37266124,2116539283.25
32,Pozostałe kraje świata (poza EOG),687714,50797197.95
