num,name,ilosc,wartosc
1,Austria,1589,505251.56
2,Belgia,3521,950851.84
3,Bułgaria,252,65389.47
4,Chorwacja,113,52043.91
5,Cypr,126,75275.88
6,Czechy,15958,6638680.39
7,Dania,2512,947899.03
8,Estonia,380,102433.82
9,Finlandia,609,158731.96
10,Francja,2747,771528.11
11,Grecja,330,106825.36
12,Hiszpania,1284,347155.94
13,Holandia,6554,1783993.44
14,Irlandia,5652,2168521.05
15,Islandia,1207,331395.91
16,Litwa ,5790,1847253.83
17,Liechtenstein,11,2752.0
18,Luksemburg,173,58804.63
19,Łotwa,562,216725.38
20,Malta,83,25742.38
21,Niemcy,28803,10288801.28
22,Norwegia,7110,2193425.11
23,Polska,0,0.0
24,Portugalia,377,95403.45
25,Rumunia,454,257906.64
26,Słowacja,3701,1174216.45
27,Słowenia,90,20752.27
28,Szwecja,3503,1190394.07
29,Węgry,572,208560.86
30,Włochy,2691,672272.3
31,Krajowe,4901106,1212066879.05
32,Pozostałe kraje świata (poza EOG),117511,34312641.64
