,KRAJE,category,ilosc,wartosc
0,INNE KRAJE,BUSINESS,17,26623.6700
1,POLSKA,BUSINESS,549,230591.2200
2,INNE KRAJE,Individual,120,46148.4700
3,POLSKA,Individual,3766,746481.2000
