,KRAJE,category,ilosc,wartosc
0,INNE KRAJE,BUSINESS,29823,6996444.0100
1,POLSKA,BUSINESS,1183719,127422163.1900
2,INNE KRAJE,Individual,983194,71169304.3500
3,POLSKA,Individual,35840308,1735192069.0800
