,code,num,ilosc,wartosc
0,AT,1,0,0.0
1,BE,2,0,0.0
2,BG,3,0,0.0
3,HR,4,0,0.0
4,CY,5,0,0.0
5,CZ,6,0,0.0
6,DK,7,0,0.0
7,EE,8,0,0.0
8,FI,9,0,0.0
9,FR,10,0,0.0
10,GR,11,0,0.0
11,ES,12,0,0.0
12,NL,13,0,0.0
13,IE,14,0,0.0
14,IS,15,0,0.0
15,LT,16,0,0.0
16,LI,17,0,0.0
17,LU,18,0,0.0
18,LV,19,0,0.0
19,MT,20,0,0.0
20,DE,21,0,0.0
21,NO,22,0,0.0
22,PL,23,0,0.0
23,PT,24,0,0.0
24,RO,25,0,0.0
25,SK,26,0,0.0
26,SI,27,0,0.0
27,SE,28,0,0.0
28,HU,29,0,0.0
29,IT,30,0,0.0
30,W2,31,0,0.0
31,G1,32,11,12356.99
