,num,name,ilosc,wartosc
0,1,Austria,3231,913888.3300
1,2,Belgia,7656,2128334.5600
2,3,Bułgaria,323,105803.7000
3,4,Chorwacja,149,51418.1000
4,5,Cypr,170,73919.9500
5,6,Czechy,26178,8222473.0700
6,7,Dania,6083,2013171.8300
7,8,Estonia,1516,308099.8100
8,9,Finlandia,1648,307997.0700
9,10,Francja,5905,1573824.4200
10,11,Grecja,353,132080.5700
11,12,Hiszpania,2659,673083.8900
12,13,Holandia,16030,4052185.1600
13,14,Irlandia,7064,2413126.8500
14,15,Islandia,2840,735168.6800
15,16,Litwa ,8808,2317098.0200
16,17,Liechtenstein,5,4019.5800
17,18,Luksemburg,486,178634.2500
18,19,Łotwa,1459,379266.9100
19,20,Malta,171,47801.4700
20,21,Niemcy,71425,22403304.4000
21,22,Norwegia,15787,4885051.9700
22,23,Polska,0,0.0000
23,24,Portugalia,422,116884.7600
24,25,Rumunia,640,241921.4100
25,26,Słowacja,5535,1752916.1400
26,27,Słowenia,153,46708.4700
27,28,Szwecja,9574,2922748.1300
28,29,Węgry,635,204128.8800
29,30,Włochy,4070,986034.9500
30,31,Krajowe,5895055,1428792765.9600
31,32,Pozostałe kraje świata (poza EOG),167803,53060642.2500
