,num,name,ilosc,wartosc
0,1,Austria,1351,154122.8700
1,2,Belgia,21372,1852140.1100
2,3,Bułgaria,999,83269.5400
3,4,Chorwacja,619,44877.5700
4,5,Cypr,326,47264.7900
5,6,Czechy,59644,6093591.5400
6,7,Dania,14706,1543943.6500
7,8,Estonia,239,26210.8300
8,9,Finlandia,5306,340338.1800
9,10,Francja,11275,1303576.1700
10,11,Grecja,1094,104443.7900
11,12,Hiszpania,6992,543353.1600
12,13,Holandia,18294,1766948.0900
13,14,Irlandia,12628,1655029.0800
14,15,Islandia,6843,690423.6700
15,16,Litwa ,9044,797994.0300
16,17,Liechtenstein,6,3701.0000
17,18,Luksemburg,1395,189704.4800
18,19,Łotwa,1395,128557.1900
19,20,Malta,253,21748.5000
20,21,Niemcy,72995,10752371.5000
21,22,Norwegia,48670,5282782.6600
22,23,Polska,0,0.0000
23,24,Portugalia,691,75382.2200
24,25,Rumunia,2187,183603.3300
25,26,Słowacja,20631,1930621.8700
26,27,Słowenia,432,30393.9100
27,28,Szwecja,11047,1000563.2900
28,29,Węgry,747,64349.8400
29,30,Włochy,4150,375733.7600
30,31,Krajowe,26689281,1433771879.5300
31,32,Pozostałe kraje świata (poza EOG),757813,53936037.5300
