,karta,KRAJE,category,Liczba transakcji CashBack,Wartość wypłat Cash Back
0,MC,INNE KRAJE,Individual,144,11085.7700
1,MC,POLSKA,Individual,7595,1402853.5000
2,MC,POLSKA,BUSINESS,233,42912.4200
3,VISA,POLSKA,Individual,12347,2418465.7300
4,VISA,POLSKA,BUSINESS,323,90256.5500
