,num,name,ilosc,wartosc
0,1,Austria,2,71.6700
1,2,Belgia,29,1653.8000
2,3,Bułgaria,37,1021.2500
3,4,Chorwacja,27,1025.9800
4,5,Cypr,1,6.0000
5,6,Czechy,375,25833.6200
6,7,Dania,78,3318.2400
7,8,Estonia,0,0.0000
8,9,Finlandia,47,8394.7700
9,10,Francja,110,17356.7800
10,11,Grecja,0,0.0000
11,12,Hiszpania,21,823.1700
12,13,Holandia,165,7558.7200
13,14,Irlandia,31,1691.3100
14,15,Islandia,26,1129.6200
15,16,Litwa ,10,450.5000
16,17,Liechtenstein,0,0.0000
17,18,Luksemburg,6,250.4400
18,19,Łotwa,5,322.0000
19,20,Malta,4,159.7400
20,21,Niemcy,140,5876.2100
21,22,Norwegia,469,17222.5800
22,23,Polska,0,0.0000
23,24,Portugalia,3,119.0000
24,25,Rumunia,55,1386.7000
25,26,Słowacja,103,5366.1300
26,27,Słowenia,4,183.9700
27,28,Szwecja,49,2875.6700
28,29,Węgry,4,133.5000
29,30,Włochy,29,1191.9500
30,31,Krajowe,345024,15138582.9500
31,32,Pozostałe kraje świata (poza EOG),535,19818.9100
