,num,name,ilosc,wartosc
0,1,Austria,652,87874.1400
1,2,Belgia,861,141666.8000
2,3,Bułgaria,183,23230.2400
3,4,Chorwacja,25,1977.4500
4,5,Cypr,19,2653.2700
5,6,Czechy,6955,693570.9200
6,7,Dania,989,179020.9200
7,8,Estonia,567,66319.4200
8,9,Finlandia,473,53729.9700
9,10,Francja,912,144429.1800
10,11,Grecja,1744,97588.0600
11,12,Hiszpania,743,89982.6200
12,13,Holandia,2202,303432.8800
13,14,Irlandia,3106,731383.5400
14,15,Islandia,501,69872.7000
15,16,Litwa ,1790,262280.8500
16,17,Liechtenstein,0,0.0000
17,18,Luksemburg,57,14340.8600
18,19,Łotwa,328,36403.7900
19,20,Malta,20,675.1100
20,21,Niemcy,14815,2219367.6600
21,22,Norwegia,4612,615356.5300
22,23,Polska,0,0.0000
23,24,Portugalia,46,8479.2900
24,25,Rumunia,131,41625.9400
25,26,Słowacja,883,95992.5400
26,27,Słowenia,54,8019.6400
27,28,Szwecja,4401,619499.6100
28,29,Węgry,328,29040.1000
29,30,Włochy,1836,189714.3200
30,31,Krajowe,1469036,114484596.3300
31,32,Pozostałe kraje świata (poza EOG),79455,11049196.2300
