,num,name,ilosc,wartosc
0,1,Austria,12044.0,1247194.7100
1,2,Belgia,31923.0,2929628.0800
2,3,Bułgaria,2043.0,160105.3000
3,4,Chorwacja,999.0,81548.1800
4,5,Cypr,799.0,95664.4400
5,6,Czechy,115747.0,11451012.3700
6,7,Dania,25428.0,2712145.5000
7,8,Estonia,5154.0,436433.5200
8,9,Finlandia,7687.0,517467.6600
9,10,Francja,19179.0,2079236.3000
10,11,Grecja,3028.0,212607.6400
11,12,Hiszpania,14386.0,1098119.8500
12,13,Holandia,63794.0,5657696.5200
13,14,Irlandia,31850.0,7707619.8300
14,15,Islandia,9381.0,961836.0500
15,16,Litwa ,34664.0,3251422.1500
16,17,Liechtenstein,8.0,4210.5800
17,18,Luksemburg,1579.0,220949.4300
18,19,Łotwa,6842.0,576723.8000
19,20,Malta,708.0,67526.8800
20,21,Niemcy,176494.0,26708456.8200
21,22,Norwegia,58775.0,6390818.4600
22,23,Polska,,
23,24,Portugalia,1793.0,162375.6300
24,25,Rumunia,4581.0,354481.3800
25,26,Słowacja,27988.0,2562380.9100
26,27,Słowenia,1068.0,76924.1200
27,28,Szwecja,42865.0,4112712.5700
28,29,Węgry,4294.0,328579.3200
29,30,Włochy,17960.0,1475138.7700
30,31,Krajowe,46665963.0,2585297986.1700
31,32,Pozostałe kraje świata (poza EOG),1052777.0,79146794.3300
