,num,name,ilosc,wartosc
0,1,Austria,10037,1004221.5300
1,2,Belgia,9658,931249.3700
2,3,Bułgaria,823,52044.2700
3,4,Chorwacja,328,33667.1800
4,5,Cypr,453,45740.3800
5,6,Czechy,48753,4604538.2900
6,7,Dania,9651,982136.6900
7,8,Estonia,4347,343682.2700
8,9,Finlandia,1860,113804.7400
9,10,Francja,6868,606138.0300
10,11,Grecja,188,10435.7900
11,12,Hiszpania,6591,441484.4300
12,13,Holandia,43121,3567258.9300
13,14,Irlandia,8385,619375.5300
14,15,Islandia,2010,198410.0600
15,16,Litwa ,23804,2181816.6700
16,17,Liechtenstein,2,509.5800
17,18,Luksemburg,121,16653.6500
18,19,Łotwa,5113,411110.8200
19,20,Malta,430,42719.7700
20,21,Niemcy,88480,13623758.9400
21,22,Norwegia,5023,475021.6900
22,23,Polska,0,0.0000
23,24,Portugalia,1053,78395.1200
24,25,Rumunia,2208,127865.4100
25,26,Słowacja,6368,526990.3700
26,27,Słowenia,578,38326.6000
27,28,Szwecja,27366,2487384.0000
28,29,Węgry,3213,234957.3900
29,30,Włochy,11941,905216.7400
30,31,Krajowe,18162112,1021543997.6500
31,32,Pozostałe kraje świata (poza EOG),214307,13811110.9000
