,num,name,ilosc,wartosc
0,1,Austria,8772,330416.0700
1,2,Belgia,24208,795178.6000
2,3,Bułgaria,1658,52063.5000
3,4,Chorwacja,821,29001.1000
4,5,Cypr,628,21738.4900
5,6,Czechy,88106,3089510.5400
6,7,Dania,19230,690526.0100
7,8,Estonia,3596,126296.8500
8,9,Finlandia,5991,199875.8200
9,10,Francja,13134,479492.4200
10,11,Grecja,2673,80387.0700
11,12,Hiszpania,11638,400373.0800
12,13,Holandia,47462,1579024.7100
13,14,Irlandia,17002,591083.4000
14,15,Islandia,6512,223474.7500
15,16,Litwa ,25544,909675.4300
16,17,Liechtenstein,3,191.0000
17,18,Luksemburg,1087,42064.7400
18,19,Łotwa,5307,193613.3000
19,20,Malta,532,17341.9100
20,21,Niemcy,104790,4189427.8400
21,22,Norwegia,42495,1487179.9800
22,23,Polska,0,0.0000
23,24,Portugalia,1367,45278.1700
24,25,Rumunia,3865,110183.3900
25,26,Słowacja,22245,796546.8200
26,27,Słowenia,905,29629.7100
27,28,Szwecja,32632,1162663.1900
28,29,Węgry,3643,123952.5400
29,30,Włochy,13792,482236.9400
30,31,Krajowe,40311141,1136044481.7400
31,32,Pozostałe kraje świata (poza EOG),883825,25739145.9600
