,num,name,ilosc,wartosc
0,1,Austria,2,904.5000
1,2,Belgia,3,2918.0000
2,3,Bułgaria,1,540.0000
3,4,Chorwacja,0,0.0000
4,5,Cypr,0,0.0000
5,6,Czechy,20,33478.0000
6,7,Dania,4,3726.0000
7,8,Estonia,1,221.0000
8,9,Finlandia,1,1200.0000
9,10,Francja,14,7736.1400
10,11,Grecja,2,140.0000
11,12,Hiszpania,39,22476.4700
12,13,Holandia,12,12497.9000
13,14,Irlandia,7700,4700140.3700
14,15,Islandia,1,2000.0000
15,16,Litwa ,16,8880.1000
16,17,Liechtenstein,0,0.0000
17,18,Luksemburg,0,0.0000
18,19,Łotwa,1,330.0000
19,20,Malta,1,2223.7600
20,21,Niemcy,64,107082.5100
21,22,Norwegia,1,435.0000
22,23,Polska,0,0.0000
23,24,Portugalia,0,0.0000
24,25,Rumunia,0,0.0000
25,26,Słowacja,3,3410.0000
26,27,Słowenia,0,0.0000
27,28,Szwecja,2,2390.0000
28,29,Węgry,0,0.0000
29,30,Włochy,4,3282.0000
30,31,Krajowe,510,358929.7100
31,32,Pozostałe kraje świata (poza EOG),555,324115.6500
