,num,name,ilosc,wartosc
0,1,Austria,10689,1092095.6700
1,2,Belgia,10519,1072916.1700
2,3,Bułgaria,1006,75274.5100
3,4,Chorwacja,353,35644.6300
4,5,Cypr,472,48393.6500
5,6,Czechy,55708,5298109.2100
6,7,Dania,10640,1161157.6100
7,8,Estonia,4914,410001.6900
8,9,Finlandia,2333,167534.7100
9,10,Francja,7780,750567.2100
10,11,Grecja,1932,108023.8500
11,12,Hiszpania,7334,531467.0500
12,13,Holandia,45323,3870691.8100
13,14,Irlandia,11491,1350759.0700
14,15,Islandia,2511,268282.7600
15,16,Litwa ,25594,2444097.5200
16,17,Liechtenstein,2,509.5800
17,18,Luksemburg,178,30994.5100
18,19,Łotwa,5441,447514.6100
19,20,Malta,450,43394.8800
20,21,Niemcy,103295,15843126.6000
21,22,Norwegia,9635,1090378.2200
22,23,Polska,0,0.0000
23,24,Portugalia,1099,86874.4100
24,25,Rumunia,2339,169491.3500
25,26,Słowacja,7251,622982.9100
26,27,Słowenia,632,46346.2400
27,28,Szwecja,31767,3106883.6100
28,29,Węgry,3543,264095.9800
29,30,Włochy,13777,1094931.0600
30,31,Krajowe,19631148,1136028593.9800
31,32,Pozostałe kraje świata (poza EOG),293874,24866822.2400
