,KRAJE,category,ilosc,wartosc
0,INNE KRAJE,BUSINESS,41656,12669719.9400
1,POLSKA,BUSINESS,1504229,221553318.6700
2,INNE KRAJE,Individual,1734182,150118091.1600
3,POLSKA,Individual,45161734,2363744667.5000
