,KRAJE,category,ilosc,wartosc
0,INNE KRAJE,BUSINESS,24,7403.0500
1,POLSKA,BUSINESS,1337,219619.7700
2,INNE KRAJE,Individual,819,67037.7100
3,POLSKA,Individual,25032,1059604.2200
