,num,name,ilosc,wartosc
0,1,Austria,37,1914.1400
1,2,Belgia,27,1543.1200
2,3,Bułgaria,24,676.8500
3,4,Chorwacja,2,103.0000
4,5,Cypr,0,0.0000
5,6,Czechy,1068,79717.1400
6,7,Dania,33,1403.4200
7,8,Estonia,41,1815.8600
8,9,Finlandia,0,0.0000
9,10,Francja,16,826.5400
10,11,Grecja,0,0.0000
11,12,Hiszpania,29,1363.2400
12,13,Holandia,125,6430.0300
13,14,Irlandia,53,1577.9000
14,15,Islandia,2,63.0000
15,16,Litwa ,286,15318.1000
16,17,Liechtenstein,0,0.0000
17,18,Luksemburg,0,0.0000
18,19,Łotwa,70,3191.5900
19,20,Malta,0,0.0000
20,21,Niemcy,75,2765.8600
21,22,Norwegia,23,928.9300
22,23,Polska,0,0.0000
23,24,Portugalia,1,93.7000
24,25,Rumunia,21,989.8800
25,26,Słowacja,102,4141.8200
26,27,Słowenia,6,401.9700
27,28,Szwecja,608,22035.5800
28,29,Węgry,12,364.4000
29,30,Włochy,65,2392.9300
30,31,Krajowe,114233,4963225.8100
31,32,Pozostałe kraje świata (poza EOG),59,3071.5600
