,num,name,ilosc,wartosc
0,1,Austria,306,57914.4900
1,2,Belgia,8946,682301.2200
2,3,Bułgaria,595,42601.6800
3,4,Chorwacja,356,50523.0100
4,5,Cypr,194,24238.3200
5,6,Czechy,21646,3524226.7200
6,7,Dania,4307,461567.0300
7,8,Estonia,55,9842.1800
8,9,Finlandia,1619,92530.0200
9,10,Francja,4475,519648.8500
10,11,Grecja,667,61390.1600
11,12,Hiszpania,2470,203481.9100
12,13,Holandia,5106,489708.5900
13,14,Irlandia,6383,1063248.2900
14,15,Islandia,1990,206809.2000
15,16,Litwa ,5364,497714.2400
16,17,Liechtenstein,10,1791.0000
17,18,Luksemburg,322,42031.2900
18,19,Łotwa,462,97338.8600
19,20,Malta,107,9790.9400
20,21,Niemcy,21093,3643738.8200
21,22,Norwegia,17683,1835419.8600
22,23,Polska,0,0.0000
23,24,Portugalia,678,62354.8400
24,25,Rumunia,970,151278.3000
25,26,Słowacja,11970,1139045.6700
26,27,Słowenia,288,14083.5300
27,28,Szwecja,2666,242917.2700
28,29,Węgry,497,41258.3900
29,30,Włochy,2031,213365.2300
30,31,Krajowe,17167998,948070664.0200
31,32,Pozostałe kraje świata (poza EOG),362975,25124480.3000
