,num,name,ilosc,wartosc
0,1,Austria,306,57914.4900
1,2,Belgia,8955,682740.2400
2,3,Bułgaria,620,43393.4400
3,4,Chorwacja,363,50648.9800
4,5,Cypr,194,24238.3200
5,6,Czechy,21701,3527705.9300
6,7,Dania,4333,462778.3600
7,8,Estonia,55,9842.1800
8,9,Finlandia,1633,95454.9500
9,10,Francja,4515,523652.2400
10,11,Grecja,667,61390.1600
11,12,Hiszpania,2476,203730.9100
12,13,Holandia,5149,491668.1000
13,14,Irlandia,6396,1063930.3900
14,15,Islandia,2058,244001.1800
15,16,Litwa ,5368,497861.7100
16,17,Liechtenstein,10,1791.0000
17,18,Luksemburg,323,42054.7900
18,19,Łotwa,463,97428.8600
19,20,Malta,108,9819.9400
20,21,Niemcy,21148,3645935.9500
21,22,Norwegia,17869,1842151.4300
22,23,Polska,0,0.0000
23,24,Portugalia,685,62753.8400
24,25,Rumunia,987,151641.5900
25,26,Słowacja,12023,1141511.7200
26,27,Słowenia,290,14166.5300
27,28,Szwecja,2686,244027.0900
28,29,Węgry,499,41336.1700
29,30,Włochy,2044,213990.1000
30,31,Krajowe,17394582,957918735.3000
31,32,Pozostałe kraje świata (poza EOG),363238,25133433.8800
