,KRAJE,category,pos_entry_mode,ilosc,wartosc
0,INNE KRAJE,BUSINESS,CTLS,21633,3628374.3900
1,POLSKA,BUSINESS,CTLS,1125590,118646825.0200
2,INNE KRAJE,Individual,CTLS,920567,61083767.5200
3,POLSKA,Individual,CTLS,34965292,1675006755.6000
