,num,name,ilosc,wartosc
0,1,Austria,4184,469612.9700
1,2,Belgia,11745,984719.8100
2,3,Bułgaria,1074,79135.1700
3,4,Chorwacja,569,60901.3000
4,5,Cypr,381,59406.7800
5,6,Czechy,41676,6551174.2300
6,7,Dania,8397,966766.4200
7,8,Estonia,1110,116566.1600
8,9,Finlandia,2413,189735.9600
9,10,Francja,8324,832253.0800
10,11,Grecja,1938,143257.9600
11,12,Hiszpania,7040,455344.5500
12,13,Holandia,18767,1745674.2900
13,14,Irlandia,13006,2104417.4800
14,15,Islandia,2965,363925.0500
15,16,Litwa ,14679,1855936.6000
16,17,Liechtenstein,13,2738.0000
17,18,Luksemburg,365,47052.6400
18,19,Łotwa,2077,251025.8600
19,20,Malta,250,21514.4100
20,21,Niemcy,54291,9405404.2300
21,22,Norwegia,21497,2229673.9400
22,23,Polska,0,0.0000
23,24,Portugalia,2139,134725.3200
24,25,Rumunia,2174,260343.3200
25,26,Słowacja,15984,1468846.6600
26,27,Słowenia,594,31955.5100
27,28,Szwecja,11898,1214740.6000
28,29,Węgry,3240,264917.7700
29,30,Włochy,9473,738107.0100
30,31,Krajowe,30183027,1726715552.6200
31,32,Pozostałe kraje świata (poza EOG),549195,40377065.8300
