,num,name,ilosc,wartosc
0,1,Austria,3632,383557.1400
1,2,Belgia,2501,248504.0100
2,3,Bułgaria,421,32847.8500
3,4,Chorwacja,191,8968.0700
4,5,Cypr,181,34992.1600
5,6,Czechy,17590,2634218.2900
6,7,Dania,3616,383752.8900
7,8,Estonia,918,71106.4600
8,9,Finlandia,596,41987.8700
9,10,Francja,3454,253005.7600
10,11,Grecja,147,8057.0500
11,12,Hiszpania,4339,224032.4300
12,13,Holandia,12719,1118814.7200
13,14,Irlandia,3692,309484.9800
14,15,Islandia,711,81829.3400
15,16,Litwa ,8857,1184995.9200
16,17,Liechtenstein,3,947.0000
17,18,Luksemburg,22,2205.9000
18,19,Łotwa,1530,134390.7000
19,20,Malta,140,11269.4700
20,21,Niemcy,28406,4940096.7100
21,22,Norwegia,1746,127089.8700
22,23,Polska,0,0.0000
23,24,Portugalia,1438,69842.5600
24,25,Rumunia,1076,68619.3600
25,26,Słowacja,3511,283028.9600
26,27,Słowenia,272,15201.0200
27,28,Szwecja,7781,713608.3100
28,29,Węgry,2548,213046.5700
29,30,Włochy,6731,419953.5600
30,31,Krajowe,11841203,688333890.3000
31,32,Pozostałe kraje świata (poza EOG),140543,10625486.7300
