,num,name,ilosc,wartosc
0,1,Austria,301,57744.7100
1,2,Belgia,206,33638.2900
2,3,Bułgaria,58,3800.0400
3,4,Chorwacja,32,4604.7500
4,5,Cypr,25,3190.5400
5,6,Czechy,307,41833.0000
6,7,Dania,51,8357.7200
7,8,Estonia,15,1727.6300
8,9,Finlandia,105,8974.2400
9,10,Francja,905,185857.6300
10,11,Grecja,323,32241.9700
11,12,Hiszpania,823,77461.6100
12,13,Holandia,150,24997.2100
13,14,Irlandia,2347,578795.5300
14,15,Islandia,315,54384.7800
15,16,Litwa ,545,57285.5900
16,17,Liechtenstein,7,1322.0000
17,18,Luksemburg,152,20433.7400
18,19,Łotwa,329,85903.0400
19,20,Malta,17,3858.1000
20,21,Niemcy,5714,980499.1100
21,22,Norwegia,1408,160370.0700
22,23,Polska,0,0.0000
23,24,Portugalia,57,8342.0500
24,25,Rumunia,27,3425.5600
25,26,Słowacja,573,57290.9700
26,27,Słowenia,18,2136.7800
27,28,Szwecja,567,79530.4300
28,29,Węgry,31,1325.8200
29,30,Włochy,785,129204.2200
30,31,Krajowe,586649,48824039.6100
31,32,Pozostałe kraje świata (poza EOG),79417,6989626.7200
