,num,name,ilosc,wartosc
0,1,Austria,7,307.3800
1,2,Belgia,9,513.2000
2,3,Bułgaria,13,286.7500
3,4,Chorwacja,1,86.0000
4,5,Cypr,0,0.0000
5,6,Czechy,263,16109.4900
6,7,Dania,16,711.4400
7,8,Estonia,7,303.9200
8,9,Finlandia,1,42.0000
9,10,Francja,11,508.2500
10,11,Grecja,0,0.0000
11,12,Hiszpania,16,517.3900
12,13,Holandia,45,2470.4500
13,14,Irlandia,19,756.1400
14,15,Islandia,9,455.2700
15,16,Litwa ,43,2305.3400
16,17,Liechtenstein,0,0.0000
17,18,Luksemburg,0,0.0000
18,19,Łotwa,7,287.7100
19,20,Malta,0,0.0000
20,21,Niemcy,17,648.1600
21,22,Norwegia,6,164.4500
22,23,Polska,0,0.0000
23,24,Portugalia,0,0.0000
24,25,Rumunia,9,197.9800
25,26,Słowacja,69,2278.8200
26,27,Słowenia,0,0.0000
27,28,Szwecja,172,5481.0400
28,29,Węgry,10,456.4000
29,30,Włochy,23,806.5200
30,31,Krajowe,82249,3450453.5600
31,32,Pozostałe kraje świata (poza EOG),63,2609.5900
