,num,name,ilosc,wartosc
0,1,Austria,246,28141.3400
1,2,Belgia,289,53475.5600
2,3,Bułgaria,33,2893.8800
3,4,Chorwacja,15,1284.2500
4,5,Cypr,6,176.3000
5,6,Czechy,2385,389250.0100
6,7,Dania,448,120235.1700
7,8,Estonia,137,35617.5200
8,9,Finlandia,184,52293.1400
9,10,Francja,355,55595.0800
10,11,Grecja,1124,73810.7500
11,12,Hiszpania,225,27581.2100
12,13,Holandia,899,135191.4700
13,14,Irlandia,2918,731002.1100
14,15,Islandia,196,38094.5300
15,16,Litwa ,454,173078.9700
16,17,Liechtenstein,0,0.0000
17,18,Luksemburg,20,2791.9500
18,19,Łotwa,84,19206.3000
19,20,Malta,2,425.0000
20,21,Niemcy,4737,819371.5700
21,22,Norwegia,1882,260432.6400
22,23,Polska,0,0.0000
23,24,Portugalia,16,2128.9200
24,25,Rumunia,111,40082.3700
25,26,Słowacja,450,44305.9800
26,27,Słowenia,32,2587.9600
27,28,Szwecja,1431,257105.2000
28,29,Węgry,193,10535.0300
29,30,Włochy,698,104163.3500
30,31,Krajowe,947242,80462927.0200
31,32,Pozostałe kraje świata (poza EOG),45409,4618005.2700
