,num,name,ilosc,wartosc
0,1,Austria,3871,411391.1000
1,2,Belgia,2781,301466.3700
2,3,Bułgaria,441,35454.9800
3,4,Chorwacja,205,10166.3200
4,5,Cypr,187,35168.4600
5,6,Czechy,19712,3007358.8100
6,7,Dania,4048,503276.6200
7,8,Estonia,1048,106420.0600
8,9,Finlandia,779,94239.0100
9,10,Francja,3798,308092.5900
10,11,Grecja,1271,81867.8000
11,12,Hiszpania,4548,251096.2500
12,13,Holandia,13573,1251535.7400
13,14,Irlandia,6591,1039730.9500
14,15,Islandia,898,119468.6000
15,16,Litwa ,9268,1355769.5500
16,17,Liechtenstein,3,947.0000
17,18,Luksemburg,42,4997.8500
18,19,Łotwa,1607,153309.2900
19,20,Malta,142,11694.4700
20,21,Niemcy,33126,5758820.1200
21,22,Norwegia,3622,387358.0600
22,23,Polska,0,0.0000
23,24,Portugalia,1454,71971.4800
24,25,Rumunia,1178,108503.7500
25,26,Słowacja,3892,325056.1200
26,27,Słowenia,304,17788.9800
27,28,Szwecja,9040,965232.4700
28,29,Węgry,2731,223125.2000
29,30,Włochy,7406,523310.3900
30,31,Krajowe,12706196,765346363.7600
31,32,Pozostałe kraje świata (poza EOG),185894,15241022.3600
