,num,name,ilosc,wartosc
0,1,Austria,0,0.0000
1,2,Belgia,0,0.0000
2,3,Bułgaria,0,0.0000
3,4,Chorwacja,0,0.0000
4,5,Cypr,0,0.0000
5,6,Czechy,0,0.0000
6,7,Dania,0,0.0000
7,8,Estonia,0,0.0000
8,9,Finlandia,0,0.0000
9,10,Francja,0,0.0000
10,11,Grecja,0,0.0000
11,12,Hiszpania,0,0.0000
12,13,Holandia,0,0.0000
13,14,Irlandia,0,0.0000
14,15,Islandia,0,0.0000
15,16,Litwa ,0,0.0000
16,17,Liechtenstein,0,0.0000
17,18,Luksemburg,0,0.0000
18,19,Łotwa,0,0.0000
19,20,Malta,0,0.0000
20,21,Niemcy,0,0.0000
21,22,Norwegia,0,0.0000
22,23,Polska,0,0.0000
23,24,Portugalia,0,0.0000
24,25,Rumunia,0,0.0000
25,26,Słowacja,0,0.0000
26,27,Słowenia,0,0.0000
27,28,Szwecja,0,0.0000
28,29,Węgry,0,0.0000
29,30,Włochy,2,409.8400
30,31,Krajowe,0,0.0000
31,32,Pozostałe kraje świata (poza EOG),1068,65536.7800
