,num,name,ilosc,wartosc
0,1,Austria,5750,219439.6200
1,2,Belgia,16865,536395.3600
2,3,Bułgaria,1769,57935.2800
3,4,Chorwacja,1267,41432.4600
4,5,Cypr,455,17780.0900
5,6,Czechy,47547,1764459.2900
6,7,Dania,12798,459756.7800
7,8,Estonia,1997,68200.2800
8,9,Finlandia,4592,157273.8000
9,10,Francja,9457,323343.4800
10,11,Grecja,2834,83379.8000
11,12,Hiszpania,9221,294772.1600
12,13,Holandia,29618,973901.4800
13,14,Irlandia,12092,426594.8700
14,15,Islandia,4595,157211.3200
15,16,Litwa ,17414,584899.9000
16,17,Liechtenstein,15,519.2000
17,18,Luksemburg,671,25752.8700
18,19,Łotwa,4333,156850.2000
19,20,Malta,377,12798.8500
20,21,Niemcy,71702,2849041.5900
21,22,Norwegia,28349,960510.5600
22,23,Polska,0,0.0000
23,24,Portugalia,1958,63142.9100
24,25,Rumunia,3060,96973.9800
25,26,Słowacja,13841,520070.2000
26,27,Słowenia,880,29901.0400
27,28,Szwecja,19777,677106.6600
28,29,Węgry,3156,106578.6100
29,30,Włochy,11351,391754.3100
30,31,Krajowe,38767448,1087502442.3200
31,32,Pozostałe kraje świata (poza EOG),741100,21181464.4600
