,ARN,trx_date,posted_date,quarter,FT,FT description
0,05185243074030360473185,2023-03-15,2023-04-07,2,56 - Manipulation of CH,56 - Manipulation of CH
1,05185243090030631480563,2023-03-31,2023-03-31,1,4,Karta sfałszowana
2,05185243115031043558906,2023-04-25,2023-04-28,2,0,Zgubienie lub kradzież karty
3,05185243115031043546109,2023-04-25,2023-04-28,2,0,Zgubienie lub kradzież karty
4,05185243117031078316178,2023-04-27,2023-05-10,2,6,Pozostałe
5,05185243062030157497409,2023-03-03,2023-03-04,1,0,Zgubienie lub kradzież karty
6,05185243115031032952565,2023-04-25,2023-05-18,2,0,Zgubienie lub kradzież karty
7,05185242330028682998303,2022-11-26,2022-11-28,4,1,Zgubienie lub kradzież karty
8,05185242330028682845504,2022-11-26,2022-11-28,4,1,Zgubienie lub kradzież karty
9,05185242328028646718304,2022-11-24,2022-11-25,4,1,Zgubienie lub kradzież karty
10,05185243048029942470951,2023-02-17,2023-02-20,1,1,Zgubienie lub kradzież karty
11,05185242330028683114876,2022-11-26,2022-11-28,4,1,Zgubienie lub kradzież karty
12,05185243129031273801293,2023-05-09,2023-05-23,2,0,Zgubienie lub kradzież karty
13,05185243112031000863540,2023-04-22,2023-05-24,2,1,Zgubienie lub kradzież karty
14,05185243112031000859662,2023-04-22,2023-05-24,2,1,Zgubienie lub kradzież karty
15,05185243117031072573436,2023-04-27,2023-06-01,2,5,Pozostałe
16,05185243117031072732941,2023-04-27,2023-06-01,2,5,Pozostałe
17,05185243148031663818540,2023-05-28,2023-05-28,2,1,Zgubienie lub kradzież karty
18,05185243148031664201852,2023-05-28,2023-05-28,2,1,Zgubienie lub kradzież karty
19,05185243163031957574445,2023-06-12,2023-06-13,2,5,Pozostałe
20,05185243163031957671639,2023-06-12,2023-06-13,2,5,Pozostałe
21,05185243165032001035571,2023-06-14,2023-06-19,2,1,Zgubienie lub kradzież karty
