,karta,KRAJE,category,Liczba transakcji CashBack,Wartość wypłat Cash Back
0,MC,INNE KRAJE,Individual,95,14522.5400
1,MC,POLSKA,Individual,7708,1370148.3100
2,MC,POLSKA,BUSINESS,242,47886.8400
3,VISA,POLSKA,Individual,12228,2398230.0700
4,VISA,POLSKA,BUSINESS,294,68277.5900
