,KRAJE,category,ilosc,wartosc
0,INNE KRAJE,BUSINESS,37,20480.5500
1,POLSKA,BUSINESS,808,200361.8100
2,INNE KRAJE,Individual,390,41604.1000
3,POLSKA,Individual,11959,999910.4100
4,INNE KRAJE,Other,3,399.0000
