,num,name,ilosc,wartosc
0,1,Austria,7033,779100.6100
1,2,Belgia,4877,489170.4000
2,3,Bułgaria,829,44938.4800
3,4,Chorwacja,452,27806.9200
4,5,Cypr,301,33011.9900
5,6,Czechy,29030,4071273.6700
6,7,Dania,6940,690323.5200
7,8,Estonia,2382,225883.6700
8,9,Finlandia,1406,83952.1000
9,10,Francja,5227,404255.7500
10,11,Grecja,255,13083.7500
11,12,Hiszpania,6004,322778.8700
12,13,Holandia,27005,2288104.7000
13,14,Irlandia,5521,400804.1700
14,15,Islandia,1502,180870.1200
15,16,Litwa ,14823,1543459.0100
16,17,Liechtenstein,7,155.2000
17,18,Luksemburg,34,1647.2700
18,19,Łotwa,4058,286587.6600
19,20,Malta,309,20273.7300
20,21,Niemcy,61888,10275835.7100
21,22,Norwegia,3204,237829.6700
22,23,Polska,0,0.0000
23,24,Portugalia,1455,74266.2000
24,25,Rumunia,1952,128897.9500
25,26,Słowacja,4154,414462.0300
26,27,Słowenia,521,32270.0400
27,28,Szwecja,16637,1416355.6800
28,29,Węgry,2853,225966.4100
29,30,Włochy,10096,657416.9400
30,31,Krajowe,17710245,1017121666.4800
31,32,Pozostałe kraje świata (poza EOG),200457,12380416.2600
