,num,name,ilosc,wartosc
0,1,Austria,24,1060.2800
1,2,Belgia,15,761.0100
2,3,Bułgaria,34,1037.7700
3,4,Chorwacja,16,487.0000
4,5,Cypr,0,0.0000
5,6,Czechy,563,39432.4900
6,7,Dania,37,1717.8900
7,8,Estonia,21,817.0400
8,9,Finlandia,2,41.3900
9,10,Francja,17,864.6300
10,11,Grecja,0,0.0000
11,12,Hiszpania,28,1247.1400
12,13,Holandia,104,5045.5300
13,14,Irlandia,23,825.6800
14,15,Islandia,1,32.0000
15,16,Litwa ,126,6011.1800
16,17,Liechtenstein,0,0.0000
17,18,Luksemburg,0,0.0000
18,19,Łotwa,36,1427.3300
19,20,Malta,0,0.0000
20,21,Niemcy,52,2389.6400
21,22,Norwegia,19,717.8900
22,23,Polska,0,0.0000
23,24,Portugalia,0,0.0000
24,25,Rumunia,24,740.1000
25,26,Słowacja,68,2815.7900
26,27,Słowenia,5,175.1800
27,28,Szwecja,332,11569.1000
28,29,Węgry,11,449.2600
29,30,Włochy,42,1722.0300
30,31,Krajowe,109407,4726110.0100
31,32,Pozostałe kraje świata (poza EOG),101,4023.9200
