,num,name,ilosc,wartosc
0,1,Austria,8330.0,992149.1400
1,2,Belgia,21837.0,1751961.4700
2,3,Bułgaria,2173.0,176369.8100
3,4,Chorwacja,1583.0,90051.8200
4,5,Cypr,607.0,64999.5100
5,6,Czechy,68790.0,10149005.8200
6,7,Dania,16914.0,1804446.8800
7,8,Estonia,2759.0,280073.3600
8,9,Finlandia,5931.0,408096.7200
9,10,Francja,13318.0,1314087.6400
10,11,Grecja,3232.0,176689.1300
11,12,Hiszpania,10902.0,700393.1000
12,13,Holandia,39562.0,3651417.3800
13,14,Irlandia,24075.0,5638615.6100
14,15,Islandia,6761.0,830341.0800
15,16,Litwa ,23713.0,2469239.1800
16,17,Liechtenstein,28.0,4188.2000
17,18,Luksemburg,968.0,184921.7300
18,19,Łotwa,5431.0,414072.1100
19,20,Malta,503.0,39499.2000
20,21,Niemcy,122400.0,19807788.7200
21,22,Norwegia,38819.0,4012522.8900
22,23,Polska,,
23,24,Portugalia,2347.0,151826.7200
24,25,Rumunia,3812.0,399548.8900
25,26,Słowacja,18241.0,2106487.8500
26,27,Słowenia,1033.0,76775.5600
27,28,Szwecja,25583.0,2408697.4300
28,29,Węgry,3684.0,290954.1900
29,30,Włochy,14791.0,1191182.9700
30,31,Krajowe,45089989.0,2555607999.5300
31,32,Pozostałe kraje świata (poza EOG),881890.0,61497214.6000
