,KRAJE,category,pos_entry_mode,ilosc,wartosc
0,INNE KRAJE,BUSINESS,CTLS,25954,4775308.1700
1,POLSKA,BUSINESS,CTLS,1345488,141845634.5800
2,INNE KRAJE,Individual,CTLS,1237041,80848935.6200
3,kto wie,Individual,CTLS,940,46783.9200
4,POLSKA,Individual,CTLS,42397104,2037835196.8900
