,num,name,ilosc,wartosc
0,1,Austria,498,69685.0900
1,2,Belgia,512,91018.0000
2,3,Bułgaria,138,14185.5600
3,4,Chorwacja,44,2576.9200
4,5,Cypr,17,5728.9500
5,6,Czechy,4063,556843.6600
6,7,Dania,744,133761.7400
7,8,Estonia,256,44458.6900
8,9,Finlandia,386,53026.9800
9,10,Francja,695,107856.6200
10,11,Grecja,1861,98363.1600
11,12,Hiszpania,459,35798.1100
12,13,Holandia,1609,273136.9400
13,14,Irlandia,3348,995624.0200
14,15,Islandia,430,100931.5300
15,16,Litwa ,901,197089.4200
16,17,Liechtenstein,0,0.0000
17,18,Luksemburg,51,7200.8800
18,19,Łotwa,243,34942.5700
19,20,Malta,14,1230.1100
20,21,Niemcy,10991,1752523.7000
21,22,Norwegia,3245,392669.9300
22,23,Polska,0,0.0000
23,24,Portugalia,42,2840.2700
24,25,Rumunia,135,37686.6500
25,26,Słowacja,573,92862.3400
26,27,Słowenia,63,4351.3800
27,28,Szwecja,2785,458665.2500
28,29,Węgry,220,16706.9800
29,30,Włochy,1413,181912.0900
30,31,Krajowe,1401403,115188927.5800
31,32,Pozostałe kraje świata (poza EOG),71895,8909620.3200
