,num,name,ilosc,wartosc
0,1,Austria,8329,991904.3900
1,2,Belgia,21835,1751233.4700
2,3,Bułgaria,2173,176369.8100
3,4,Chorwacja,1583,90051.8200
4,5,Cypr,607,64999.5100
5,6,Czechy,68781,10133452.1200
6,7,Dania,16914,1804446.8800
7,8,Estonia,2759,280073.3600
8,9,Finlandia,5931,408096.7200
9,10,Francja,13299,1304125.9400
10,11,Grecja,3230,176509.1300
11,12,Hiszpania,10900,699229.1000
12,13,Holandia,39526,3634524.1300
13,14,Irlandia,18043,2867395.0200
14,15,Islandia,6760,829144.0800
15,16,Litwa ,23712,2468529.1800
16,17,Liechtenstein,28,4188.2000
17,18,Luksemburg,968,184921.7300
18,19,Łotwa,5430,413897.1100
19,20,Malta,503,39499.2000
20,21,Niemcy,122383,19788047.4600
21,22,Norwegia,38816,4011161.8900
22,23,Polska,0,0.0000
23,24,Portugalia,2347,151826.7200
24,25,Rumunia,3812,399548.8900
25,26,Słowacja,18238,2105179.8500
26,27,Słowenia,1033,76775.5600
27,28,Szwecja,25579,2405799.9300
28,29,Węgry,3682,289732.1900
29,30,Włochy,14785,1186718.9700
30,31,Krajowe,45089631,2555402289.3200
31,32,Pozostałe kraje świata (poza EOG),881312,61201019.1200
